service group,department,organisation,staff group,metric,month
Surgical Services,Theatres & DSC,Main Theatres 75824,Add Prof Scientific and Technic,Leavers,6
Neighbourhood Services,Int Team N Sedge & B'Water,DN North Sedgemoor 61300,Additional Clinical Services,Hires,6
Mental Health and Learning Disabilities,Learning Difficulties,Learning Disabilities West 53100,Allied Health Professionals,Leavers,6
Corporate Support Services,WoE Imaging Network,WoE Imaging Network 00157,Administrative and Clerical,Hires,6
Mental Health and Learning Disabilities,Urgent Care & Forensic Servs,Urgent Care Hub 52102,Add Prof Scientific and Technic,Sickness,6
Mental Health and Learning Disabilities,MH & LD Resident Doctors DEPT,MH & LD Resident Doctors 57015,Medical and Dental,Hires,6
CYP & Families Services,Community Paediatrics,CYP Therapy Service 42010,Allied Health Professionals,Hires,6
Medical Services,Cardiology,Cath Lab 21005,Nursing and Midwifery Registered,Leavers,6
Medical Services,Acute/General Medicine DEPT,Sheppard Medical 20206,Additional Clinical Services,Hires,6
Corporate Support Services,Experience & Learning,HR Advisor 02060,Administrative and Clerical,Leavers,6
Surgical Services,Max Fax,YDH Maxillo Facial 12004,Administrative and Clerical,Leavers,6
Mental Health and Learning Disabilities,CMHS West,Bridgwater CMH Team 51111,Additional Clinical Services,Leavers,6
Neighbourhood Services,Intermediate Care DEPT,Primary Link 29001,Administrative and Clerical,Leavers,6
Mental Health and Learning Disabilities,CMHS West,Bridgwater CMH Team 51111,Administrative and Clerical,Hires,6
Mental Health and Learning Disabilities,CMHS West,Bridgwater CMH Team 51111,Administrative and Clerical,Leavers,6
Corporate Support Services,Estates and Facilities - SFT,Transport - MPH 04260,Estates and Ancillary,Leavers,6
Neighbourhood Services,Intermediate Care DEPT,Pathway 2/3 65801,Allied Health Professionals,Leavers,6
Corporate Support Services,Estates and Facilities - SFT,West Mendip Hotel Services 21682,Estates and Ancillary,Leavers,6
CYP & Families Services,Maternity DEPT,Maternity Admin MPH 49030,Administrative and Clerical,Hires,6
Surgical Services,Orthodontics,Orthodontics Med Stf 12008,Medical and Dental,Leavers,6
Surgical Services,Max Fax,YDH Maxillo Facial 12004,Administrative and Clerical,Hires,6
Medical Services,Stroke,Stroke Care Med Staff 20600,Medical and Dental,Leavers,6
CYP & Families Services,Community & Urgent Services,CAMHS East Team 40010,Add Prof Scientific and Technic,Hires,6
CYP & Families Services,Acute Paediatrics,Ward 10 76250,Additional Clinical Services,Hires,6
Clinical Support and Cancer Services,Therapies DEPT,PCN OT ARRS 68100,Allied Health Professionals,Hires,6
Mental Health and Learning Disabilities,Medical Inpatients,Med Gen Ad Inp Rydon Ward 1 57013,Medical and Dental,Hires,6
Neighbourhood Services,Intermediate Care DEPT,Primary Link 29001,Nursing and Midwifery Registered,Leavers,6
Surgical Services,Urology,Urology Med Stf MPH 16002,Administrative and Clerical,Sickness,6
Surgical Services,Gastro,Gastro Med Staff MPH 13001,Add Prof Scientific and Technic,Sickness,6
Mental Health and Learning Disabilities,CMHS East,Mendip CMHT 51210,Additional Clinical Services,Leavers,6
Corporate Support Services,Estates and Facilities - SFT,Estates - Community 04410,Estates and Ancillary,Hires,6
Corporate Support Services,Director of Communications,Communications 75302,Administrative and Clerical,Sickness,6
Clinical Support and Cancer Services,Therapies DEPT,MSK Physiotherapy 38250,Additional Clinical Services,Hires,6
Corporate Support Services,Estates and Facilities - SFT,Estates Mgt - Operational 04000,Estates and Ancillary,Leavers,6
SSL Corporate,SSL Facilities EME Level 5,SSL Equipment Library S75362,Additional Clinical Services,Hires,6
Medical Services,Neurology,Neurology Med Stf 20700,Medical and Dental,Leavers,6
CYP & Families Services,Community & Urgent Services,CAMHS East Team 40010,Add Prof Scientific and Technic,Leavers,6
SSL Corporate,SSL Facilities Hard FM Level 5,SSL Electrical Maintenance S75364,Estates and Ancillary,Hires,6
